nan,-1.0,-0.95,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.2,0.0
1.0,.0000,.0975,.1900,.3600,.5100,.6400,.7500,.8400,.9600,1.
.90,.0000,.0975,.1900,.3600,.5100,.6400,.7500,.8400,.9600,1.
.85,.0000,.0975,.1900,.3600,.5100,.6400,.7500,.8400,.9600,1.
.80,.0000,.0975,.1900,.3600,.5100,.6400,.7500,.8400,.9600,1.
.70,.0000,.0975,.1900,.3600,.5100,.6400,.7500,.8400,.9600,1.
.60,.0000,.0965,.1885,.3585,.5110,.6415,.7530,.8426,.9613,1.
.50,.0000,.0950,.1865,.3569,.5140,.6439,.7580,.8456,.9639,1.
.40,.0000,.0905,.1810,.3500,.5040,.6353,.7525,.8415,.9645,1.
.30,.0000,.0800,.1670,.3360,.4885,.6195,.7335,.8265,.9583,1.
.25,.0000,.0725,.1567,.3228,.4740,.6050,.7184,.8139,.9519,1.
.20,.0000,.0640,.1455,.3060,.4535,.5842,.6995,.7984,.9446,1.
.15,.0000,.0540,.1325,.2870,.4280,.5585,.6770,.7805,.9360,1.
